2025-11-18 11:32:28 | DEBUG | RSIMLTradingBot | --- Processing GOLDm# ---
2025-11-18 11:32:28 | DEBUG | SignalGenerator | Technical State - RSI: 68.84, EMA_short: 4017.14966, EMA_long: 4016.21051, Price: 4028.02000, ATR: 5.86929
2025-11-18 11:32:28 | DEBUG | SignalGenerator | Trend strength: 0.16 ATR
2025-11-18 11:32:28 | DEBUG | SignalGenerator | Trend too weak (0.16 < 0.5 ATR)
2025-11-18 11:32:28 | DEBUG | RSIMLTradingBot | GOLDm#: No rule-based signal
2025-11-18 11:32:28 | INFO | RSIMLTradingBot | 🔍 Analyzing EURUSDm#...
2025-11-18 11:32:28 | DEBUG | RSIMLTradingBot | --- Processing EURUSDm# ---
2025-11-18 11:32:28 | DEBUG | SignalGenerator | Technical State - RSI: 50.62, EMA_short: 1.15984, EMA_long: 1.15968, Price: 1.15983, ATR: 0.00043
2025-11-18 11:32:28 | DEBUG | SignalGenerator | Trend strength: 0.36 ATR
2025-11-18 11:32:28 | DEBUG | SignalGenerator | Trend too weak (0.36 < 0.5 ATR)
2025-11-18 11:32:28 | DEBUG | RSIMLTradingBot | EURUSDm#: No rule-based signal
2025-11-18 11:32:28 | INFO | RSIMLTradingBot | 🔍 Analyzing GBPUSDm#...
2025-11-18 11:32:28 | DEBUG | RSIMLTradingBot | --- Processing GBPUSDm# ---
2025-11-18 11:32:28 | DEBUG | SignalGenerator | Technical State - RSI: 59.24, EMA_short: 1.31626, EMA_long: 1.31593, Price: 1.31685, ATR: 0.00058
2025-11-18 11:32:28 | DEBUG | SignalGenerator | Trend strength: 0.57 ATR
2025-11-18 11:32:28 | DEBUG | SignalGenerator | Uptrend detected. Checking buy conditions...
2025-11-18 11:32:28 | DEBUG | SignalGenerator |   prev_low <= ema_short: 1.31659 <= 1.31620 = False
2025-11-18 11:32:28 | DEBUG | SignalGenerator |   close > ema_short: 1.31685 > 1.31626 = True
2025-11-18 11:32:28 | DEBUG | SignalGenerator |   RSI in range: 35 < 59.24 < 70 = True
2025-11-18 11:32:28 | DEBUG | RSIMLTradingBot | GBPUSDm#: No rule-based signal
2025-11-18 11:32:28 | INFO | RSIMLTradingBot | 🔍 Analyzing XAUEURm#...
2025-11-18 11:32:28 | DEBUG | RSIMLTradingBot | --- Processing XAUEURm# ---
2025-11-18 11:32:28 | DEBUG | SignalGenerator | Technical State - RSI: 68.10, EMA_short: 3463.30030, EMA_long: 3462.93224, Price: 3472.66000, ATR: 4.95786
2025-11-18 11:32:28 | DEBUG | SignalGenerator | Trend strength: 0.07 ATR
2025-11-18 11:32:28 | DEBUG | SignalGenerator | Trend too weak (0.07 < 0.5 ATR)
2025-11-18 11:32:28 | DEBUG | RSIMLTradingBot | XAUEURm#: No rule-based signal
2025-11-18 11:32:28 | INFO | RSIMLTradingBot | 🔍 Analyzing AUDUSDm#...
2025-11-18 11:32:28 | DEBUG | RSIMLTradingBot | --- Processing AUDUSDm# ---
2025-11-18 11:32:28 | DEBUG | SignalGenerator | Technical State - RSI: 76.90, EMA_short: 0.64873, EMA_long: 0.64840, Price: 0.64956, ATR: 0.00032
2025-11-18 11:32:28 | DEBUG | SignalGenerator | Trend strength: 1.03 ATR
2025-11-18 11:32:28 | DEBUG | SignalGenerator | Uptrend detected. Checking buy conditions...
2025-11-18 11:32:28 | DEBUG | SignalGenerator |   prev_low <= ema_short: 0.64927 <= 0.64864 = False
2025-11-18 11:32:28 | DEBUG | SignalGenerator |   close > ema_short: 0.64956 > 0.64873 = True
2025-11-18 11:32:28 | DEBUG | SignalGenerator |   RSI in range: 35 < 76.90 < 70 = False
2025-11-18 11:32:28 | DEBUG | RSIMLTradingBot | AUDUSDm#: No rule-based signal
2025-11-18 11:32:28 | INFO | RSIMLTradingBot | 🎯 Managing trailing stops...
2025-11-18 11:32:28 | INFO | RSIMLTradingBot | ======================================================================
2025-11-18 11:32:28 | INFO | RSIMLTradingBot | ✅ Cycle #2 complete. Sleeping 10s...
2025-11-18 11:32:28 | INFO | RSIMLTradingBot | ======================================================================

2025-11-18 11:32:38 | INFO | RSIMLTradingBot | 
======================================================================
2025-11-18 11:32:38 | INFO | RSIMLTradingBot | 🔄 Cycle #3 - 2025-11-18 11:32:38
2025-11-18 11:32:38 | INFO | RSIMLTradingBot | ======================================================================
2025-11-18 11:32:38 | INFO | RSIMLTradingBot | 🔍 Analyzing GOLDm#...
2025-11-18 11:32:38 | DEBUG | RSIMLTradingBot | --- Processing GOLDm# ---
2025-11-18 11:32:38 | DEBUG | SignalGenerator | Technical State - RSI: 69.35, EMA_short: 4017.20394, EMA_long: 4016.23286, Price: 4028.59000, ATR: 5.92286
2025-11-18 11:32:38 | DEBUG | SignalGenerator | Trend strength: 0.16 ATR
2025-11-18 11:32:38 | DEBUG | SignalGenerator | Trend too weak (0.16 < 0.5 ATR)
